,look_back,hidden_nodes,output_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,1,3,1,30,20,28,269.196,13.593,16.407,56.74213576032519,57.20434739810824,57.23613128385841,57.23832249027192,57.23847249487042,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235,57.23848198883235
1,1,4,1,30,20,28,206.512,12.876,14.371,62.34691897137164,66.25864774897694,67.4569148624599,67.8214222392261,67.9320534788072,67.96560514026879,67.97577886987328,67.978866306293,67.97980051214694,67.98008533100486,67.98016887786984,67.98019546096324,67.98020305613278,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756,67.98020685371756
2,1,5,1,30,20,28,203.727,12.767,14.273,60.974342716848845,65.30670337656736,66.95494630969762,67.5757298972249,67.80857500994205,67.89577515147924,67.92841159501076,67.94062462763786,67.94519312211871,67.94690203526615,67.94754382709264,67.94778307493328,67.94787041938304,67.94790080006122,67.94791219281554,67.94791978798509,67.94792358556985,67.94792738315462,67.94792738315462,67.94792738315462,67.94792738315462,67.94792738315462,67.94792738315462,67.94792738315462,67.94792738315462,67.94792738315462,67.94792738315462,67.94792738315462
3,1,6,1,30,20,28,204.426,12.823,14.298,60.63386835531294,65.19677848775386,67.06787888565063,67.8246084128499,68.1288367265284,68.25084173250198,68.29971664851904,68.31929319801925,68.32713141298889,68.33027201559543,68.33152521857022,68.33203029734491,68.33223156933784,68.33231131861805,68.332345496881,68.33235688963532,68.33236068722009,68.33236828238964,68.33236828238964,68.33236828238964,68.33236828238964,68.33236828238964,68.33236828238964,68.33236828238964,68.33236828238964,68.33236828238964,68.33236828238964,68.33236828238964
4,2,3,1,30,20,28,203.866,12.658,14.278,62.78896163643002,64.86439108299017,66.3261080448687,66.81856364777684,67.03512091940641,67.11992098736762,67.15465369769335,67.16861361931562,67.17426442545651,67.17654297631978,67.1774657894194,67.17783795272707,67.17798605853318,67.17804681988954,67.17806960539818,67.17807720056771,67.17808479573726,67.17808479573726,67.17808479573726,67.17808479573726,67.17808479573726,67.17808479573726,67.17808479573726,67.17808479573726,67.17808479573726,67.17808479573726,67.17808479573726,67.17808479573726
5,2,4,1,30,20,28,205.377,12.667,14.331,63.481022092545025,60.72238056238889,65.45161161630153,65.06237056991458,66.71138821033834,66.7886538701117,67.38282018597126,67.4886398856461,67.71183153787254,67.7787070057094,67.86597550377249,67.90107657982111,67.93636373752355,67.95338831005692,67.9680279993534,67.97594976118802,67.98213982436657,67.9857437323153,67.98839444648623,67.99001221759914,67.99115908820032,67.99188062930702,67.99237811291218,67.99269711003303,67.99291736994981,67.99305408300161,67.99315282020568,67.99321358156203
6,2,5,1,30,20,28,203.132,12.613,14.252,61.614596521502726,62.20159299731254,64.91497491215466,65.79024604801535,66.62117658407688,67.04459589341282,67.34413798748254,67.52082441658973,67.63589883035421,67.70691366559267,67.7520593533635,67.78029819372891,67.79812785423397,67.80932313414215,67.81637524906397,67.82081462566256,67.82360205288529,67.82536413221955,67.82646543180346,67.8271679849863,67.82760090965031,67.82787813333869,67.82804902465342,67.82815915461182,67.82822751113771,67.82826928457021,67.82830346283316,67.82831865317225
7,2,6,1,30,20,28,205.318,12.685,14.329,60.80558754353821,61.09851044735014,64.24163275138139,65.33019523596764,66.48727374501227,67.12545027079581,67.61274115841388,67.9212569453001,68.13600276899336,68.27744761141538,68.37319991385937,68.43695376701355,68.47973735705614,68.50830658729672,68.52742362903952,68.54020250179767,68.54873947236537,68.55445103986263,68.55826381497383,68.56081579194068,68.56251710991859,68.56365638535021,68.56441590230465,68.5649247786641,68.5652665612936,68.56549441637992,68.5656463197708,68.56575265214443
8,3,3,1,30,20,28,205.653,12.629,14.341,63.63667749718427,63.10942462500929,64.27521859110593,65.81279990397691,66.19778006024956,66.62396780888437,66.91349187432527,67.0658129995346,67.17918609532117,67.2509262692511,67.29560485409498,67.3255298220992,67.34461648316383,67.35689027714729,67.36487659792303,67.37001473011969,67.37333381921053,67.37547945460676,67.37686557304859,67.37775800547003,67.37833523835539,67.37870740166306,67.3789466495037,67.37910235047936,67.37920488526821,67.37926564662456,67.37931121764183,67.37933400315046
9,3,4,1,30,20,28,210.674,12.852,14.515,65.22815413314103,65.05597543715834,63.94113746353387,66.70854381934404,67.00038820908068,67.02223191668986,67.54053008397221,67.66790487481354,67.72139005874395,67.82808700050114,67.8689414174795,67.89049271106123,67.91470990915298,67.92661153982877,67.93351554894447,67.93944357877373,67.94278545337319,67.9448247563958,67.94634758788942,67.94727040098905,67.9478476338744,67.94825397544503,67.94850841362475,67.94866791218519,67.94877804214357,67.94885019625424,67.94889196968674,67.94892235036491
